ID,Name,Concepticon_ID,Concepticon_Gloss
1_one,one,1493,ONE
2_two,two,1498,TWO
3_three,three,492,THREE
4_four,four,1500,FOUR
5_five,five,493,FIVE
6_six,six,1703,SIX
7_seven,seven,1704,SEVEN
8_eight,eight,1705,EIGHT
9_nine,nine,1483,NINE
10_ten,ten,1515,TEN
11_eleven,eleven,1706,ELEVEN
12_twelve,twelve,1707,TWELVE
13_thirteen,thirteen,1708,THIRTEEN
14_fourteen,fourteen,2451,FOURTEEN
15_fifteen,fifteen,1709,FIFTEEN
16_sixteen,sixteen,2454,SIXTEEN
17_seventeen,seventeen,2453,SEVENTEEN
18_eighteen,eighteen,1713,EIGHTEEN
19_nineteen,nineteen,1714,NINETEEN
20_twenty,twenty,1710,TWENTY
