"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","iyarrungu",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","jarrungu",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","-yarrungu",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","=yarrungu",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","iarun",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","yarrungu",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","-anda",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","Worr-1_one-1",NA,"Worr","1_one","iyarrungu, jarrungu, -yarrungu, =yarrungu, iarun, yarrungu, -anda, -andu","-andu",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","Worr-2_two-1",NA,"Worr","2_two","iyarrungarndu, yarrungu-ᵏwarndu, +aarndu","iyarrungarndu",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","Worr-2_two-1",NA,"Worr","2_two","iyarrungarndu, yarrungu-ᵏwarndu, +aarndu","yarrungu-ᵏwarndu",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","Worr-2_two-1",NA,"Worr","2_two","iyarrungarndu, yarrungu-ᵏwarndu, +aarndu","+aarndu",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","Worr-3_three-1",NA,"Worr","3_three","iyarrungurri, yarrungu-oorri","iyarrungurri",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","Worr-3_three-1",NA,"Worr","3_three","iyarrungurri, yarrungu-oorri","yarrungu-oorri",NA,NA,"Bowern2012",NA,NA,NA,NA
"14","Worr-5_five-1",NA,"Worr","5_five","ŋanuŋalja","ŋanuŋalja",NA,NA,"Bowern2012",NA,NA,NA,NA
